Word:  --> Said:5855
Word: inclusion --> Said:1
Word: incorporating --> Said:1
Word: incredible --> Said:1
Word: individuals --> Said:1
Word: industries --> Said:1
Word: industry --> Said:1
Word: inflatable --> Said:1
Word: information --> Said:1
Word: initial --> Said:1
Word: inner --> Said:1
Word: insane --> Said:3
Word: insect --> Said:2
Word: inside --> Said:2
Word: inspector --> Said:1
Word: instead --> Said:1
Word: instinct --> Said:1
Word: intend --> Said:1
Word: intended --> Said:1
Word: intends --> Said:1
Word: interest --> Said:1
Word: interested --> Said:1
Word: interesting --> Said:1
Word: interview --> Said:1
Word: into --> Said:11
Word: intrigues --> Said:1
Word: invented --> Said:1
Word: is --> Said:115
Word: ish --> Said:2
Word: isn't --> Said:11
Word: issues --> Said:1
Word: it --> Said:167
Word: it'll --> Said:1
Word: it's --> Said:71
Word: italian --> Said:2
Word: its --> Said:3
Word: j --> Said:1
Word: jammed --> Said:1
Word: janet --> Said:1
Word: jar --> Said:1
Word: jars --> Said:2
Word: jazz --> Said:1
Word: jealousy --> Said:1
Word: jeanette --> Said:2
Word: jell --> Said:1
Word: jerks --> Said:1
Word: jewish --> Said:1
Word: jfk --> Said:2
Word: job --> Said:12
Word: jobs --> Said:4
Word: jock --> Said:3
Word: jocks --> Said:6
Word: john --> Said:1
Word: joke --> Said:3
Word: judge --> Said:1
Word: jump --> Said:2
Word: jury --> Said:3
Word: jury's --> Said:1
Word: just --> Said:50
Word: kachoo --> Said:1
Word: kasell --> Said:1
Word: keep --> Said:3
Word: ken --> Said:11
Word: kenneth --> Said:1
Word: kenny --> Said:1
Word: kept --> Said:1
Word: key --> Said:1
Word: keychain --> Said:2
Word: keychains --> Said:1
Word: kick --> Said:2
Word: kid --> Said:3
Word: kidding --> Said:2
Word: kill --> Said:8
Word: killer --> Said:1
Word: kills --> Said:1
Word: kind --> Said:4
Word: king --> Said:2
Word: kingdom --> Said:1
Word: kite --> Said:1
Word: klauss --> Said:1
Word: knee --> Said:1
Word: knew --> Said:4
Word: knock --> Said:1
Word: knocking --> Said:1
Word: knocks --> Said:1
Word: know --> Said:53
Word: known --> Said:1
Word: knows --> Said:4
Word: koo --> Said:2
Word: korean --> Said:1
Word: krelman --> Said:6
Word: la --> Said:1
Word: label --> Said:1
Word: ladies --> Said:7
Word: land --> Said:2
Word: larry --> Said:2
Word: larvi --> Said:1
Word: laser --> Said:1
Word: last --> Said:8
Word: late --> Said:5
Word: latest --> Said:1
Word: laugh --> Said:1
Word: launch --> Said:1
Word: lauren --> Said:1
Word: law --> Said:4
Word: laws --> Said:1
Word: lawsuit's --> Said:1
Word: lawyer --> Said:2
Word: lawyers --> Said:2
Word: laying --> Said:1
Word: layton --> Said:2
Word: leader --> Said:1
Word: leans --> Said:1
Word: learn --> Said:2
Word: least --> Said:2
Word: leave --> Said:5
Word: leaving --> Said:1
Word: left --> Said:3
Word: legal --> Said:2
Word: legally --> Said:1
Word: legitimate --> Said:1
Word: legs --> Said:3
Word: less --> Said:3
Word: let --> Said:6
Word: let's --> Said:8
Word: letter --> Said:1
Word: level --> Said:1
Word: life --> Said:24
Word: lifesaver --> Said:1
Word: lifetime --> Said:1
Word: lightning --> Said:1
Word: lights --> Said:1
Word: like --> Said:39
Word: liked --> Said:1
Word: likes --> Said:1
Word: limit --> Said:1
Word: line --> Said:1
Word: lines --> Said:1
Word: lint --> Said:2
Word: liotta --> Said:3
Word: lip --> Said:1
Word: listen --> Said:6
Word: listening --> Said:2
Word: little --> Said:23
Word: live --> Said:5
Word: lived --> Said:1
Word: lives --> Said:4
Word: living --> Said:4
Word: loaded --> Said:1
Word: long --> Said:6
Word: longer --> Said:3
Word: look --> Said:13
Word: looking --> Said:2
Word: looks --> Said:3
Word: lord --> Said:1
Word: lordy --> Said:1
Word: lose --> Said:1
Word: losing --> Said:2
Word: lost --> Said:2
Word: lot --> Said:10
Word: lou --> Said:1
Word: lovable --> Said:1
Word: love --> Said:5
Word: loving --> Said:1
Word: luckily --> Said:1
Word: lucky --> Said:4
Word: lunch --> Said:1
Word: lust --> Said:1
Word: m --> Said:2
Word: ma --> Said:1
Word: ma'am --> Said:2
Word: machine --> Said:1
Word: machines --> Said:1
Word: made --> Said:7
Word: madison --> Said:1
Word: magazine --> Said:1
Word: magic --> Said:2
Word: major --> Said:1
Word: make --> Said:23
Word: makes --> Said:4
Word: making --> Said:6
Word: mall --> Said:1
Word: mama --> Said:1
Word: mama's --> Said:1
Word: mamma --> Said:1
Word: man --> Said:5
Word: man's --> Said:1
Word: manhattan --> Said:1
Word: many --> Said:2
Word: marry --> Said:1
Word: marshal --> Said:1
Word: martin --> Said:1
Word: mass --> Said:1
Word: massive --> Said:1
Word: match --> Said:1
Word: matter --> Said:3
Word: matters --> Said:2
Word: mattresses --> Said:1
Word: may --> Said:3
Word: maybe --> Said:12
Word: mayday --> Said:2
Word: me --> Said:52
Word: meadow --> Said:1
Word: mean --> Said:7
Word: means --> Said:4
Word: meant --> Said:1
Word: meat --> Said:1
Word: meet --> Said:1
Word: meeting --> Said:1
Word: men --> Said:2
Word: mercy --> Said:1
Word: met --> Said:2
Word: metal --> Said:1
Word: mia --> Said:1
Word: micrograms --> Said:1
Word: might --> Said:1
Word: mighty --> Said:1
Word: miles --> Said:2
Word: milk --> Said:1
Word: million --> Said:4
Word: millions --> Said:2
Word: mind --> Said:3
Word: minds --> Said:1
Word: mine --> Said:2
Word: minute --> Said:6
Word: minutes --> Said:1
Word: miss --> Said:1
Word: missile --> Said:1
Word: mission --> Said:1
Word: mistake --> Said:1
Word: mite --> Said:1
Word: mixed --> Said:1
Word: mom --> Said:1
Word: moment --> Said:3
Word: money --> Said:3
Word: monkey's --> Said:1
Word: monsters --> Said:1
Word: montgomery --> Said:4
Word: montgomery's --> Said:2
Word: moose --> Said:2
Word: mooseblood --> Said:1
Word: mooseblood's --> Said:1
Word: more --> Said:17
Word: mosquito --> Said:7
Word: most --> Said:2
Word: motels --> Said:1
Word: moth --> Said:1
Word: motion --> Said:2
Word: mouth --> Said:1
Word: move --> Said:9
Word: moved --> Said:2
Word: moves --> Said:1
Word: movies --> Said:1
Word: moving --> Said:1
Word: mr --> Said:19
Word: much --> Said:12
Word: multinational --> Said:1
Word: murphy's --> Said:1
Word: museum --> Said:1
Word: mushroom --> Said:1
Word: must --> Said:4
Word: mustache --> Said:1
Word: my --> Said:52
Word: myself --> Said:1
Word: mystery --> Said:1
Word: nah --> Said:2
Word: name --> Said:6
Word: name's --> Said:1
Word: nation --> Said:1
Word: natural --> Said:1
Word: nature --> Said:3
Word: nauseous --> Said:1
Word: neck --> Said:2
Word: nectar --> Said:6
Word: need --> Said:8
Word: needed --> Said:1
Word: needing --> Said:1
Word: needs --> Said:2
Word: negative --> Said:1
Word: negotiate --> Said:1
Word: neither --> Said:1
Word: nerves --> Said:1
Word: never --> Said:13
Word: new --> Said:11
Word: newbies --> Said:1
Word: news --> Said:3
Word: next --> Said:6
Word: nice --> Said:5
Word: nicest --> Said:1
Word: nickel --> Said:1
Word: nicknames --> Said:1
Word: nicotine --> Said:1
Word: night --> Said:6
Word: nightmare --> Said:1
Word: nine --> Said:1
Word: ninety --> Said:1
Word: no --> Said:66
Word: nobody --> Said:3
Word: non --> Said:1
Word: normal --> Said:1
Word: nose --> Said:5
Word: not --> Said:53
Word: nothing --> Said:9
Word: notjust --> Said:1
Word: now --> Said:18
Word: now's --> Said:1
Word: nowhere --> Said:1
Word: npr --> Said:1
Word: number --> Said:5
Word: nurse --> Said:1
Word: o --> Said:1
Word: oalifornia --> Said:1
Word: oall --> Said:1
Word: oan --> Said:10
Word: oan't --> Said:4
